OrderID,Date,ProductName,Quantity,UnitPrice,City,CustomerID
1,2023-01-15,Laptop,2,1200.00,New York,CUST001
2,2023-01-16,Mouse,5,25.50,Los Angeles,CUST002
3,2023-01-17,Keyboard,3,75.00,Chicago,CUST003
4,2023-01-18,Monitor,2,300.00,Houston,CUST004
5,2023-01-19,Laptop,1,1200.00,Phoenix,CUST005
6,2023-01-20,Webcam,4,45.00,Philadelphia,CUST006
7,2023-01-21,Mouse,3,25.50,San Antonio,CUST007
8,2023-01-22,Keyboard,2,75.00,San Diego,CUST008
9,2023-01-23,Monitor,1,300.00,Dallas,CUST009
10,2023-01-24,Laptop,3,1200.00,San Jose,CUST010
11,2023-01-25,Headphones,6,89.99,Austin,CUST011
12,2023-01-26,Webcam,2,45.00,Jacksonville,CUST012
13,2023-01-27,Mouse,4,25.50,Fort Worth,CUST013
14,2023-01-28,Keyboard,1,75.00,Columbus,CUST014
15,2023-01-29,Monitor,3,300.00,Charlotte,CUST015
16,2023-01-30,Headphones,3,89.99,Indianapolis,CUST016
17,2023-02-01,Laptop,2,1200.00,San Francisco,CUST017
18,2023-02-02,Mouse,6,25.50,Seattle,CUST018
19,2023-02-03,Keyboard,4,75.00,Denver,CUST019
20,2023-02-04,Webcam,3,45.00,Boston,CUST020
21,2023-02-05,Monitor,2,300.00,Washington,CUST021
22,2023-02-06,Headphones,5,89.99,Nashville,CUST022
23,2023-02-07,Laptop,1,1200.00,Baltimore,CUST023
24,2023-02-08,Mouse,2,25.50,Las Vegas,CUST024
25,2023-02-09,Keyboard,3,75.00,Milwaukee,CUST025
26,2023-02-10,Webcam,1,45.00,Albuquerque,CUST026
27,2023-02-11,Monitor,4,300.00,Tucson,CUST027
28,2023-02-12,Headphones,2,89.99,Fresno,CUST028
29,2023-02-13,Laptop,3,1200.00,Sacramento,CUST029
30,2023-02-14,Mouse,5,25.50,Kansas City,CUST030
31,2023-02-15,Keyboard,2,75.00,Mesa,CUST031
32,2023-02-16,Webcam,4,45.00,Atlanta,CUST032
33,2023-02-17,Monitor,1,300.00,Oklahoma City,CUST033
34,2023-02-18,Headphones,3,89.99,Raleigh,CUST034
35,2023-02-19,Laptop,2,1200.00,Long Beach,CUST035
36,2023-02-20,Mouse,3,25.50,Virginia Beach,CUST036
37,2023-02-21,Keyboard,5,75.00,Miami,CUST037
38,2023-02-22,Webcam,2,45.00,Oakland,CUST038
39,2023-02-23,Monitor,3,300.00,Minneapolis,CUST039
40,2023-02-24,Headphones,4,89.99,Tampa,CUST040
